,partitions,subjects,domains,wb_membership,depth,values
184,0,2,3,0,1,0.8917601790335412
185,0,3,3,0,1,0.8826655319108774
186,0,4,3,0,1,0.8199645042171565
187,0,5,3,0,1,0.9136418034108322
188,0,6,3,0,1,0.8384810109600074
189,0,0,3,1,1,0.8486754935904298
190,0,1,3,1,1,0.9403598837300637
191,0,2,3,1,1,0.960294150995856
192,0,3,3,1,1,0.9726266557264134
193,0,4,3,1,1,0.9083178295098974
194,0,5,3,1,1,1.0274883811066158
195,0,6,3,1,1,0.9104452179376417
196,0,0,4,0,1,0.7232917739401536
197,0,1,4,0,1,0.7977451683177317
198,0,2,4,0,1,0.8472627805058314
199,0,3,4,0,1,0.806690067978705
200,0,4,4,0,1,0.7444718400728755
201,0,5,4,0,1,0.8427838425766996
202,0,6,4,0,1,0.8166552060317713
203,0,0,4,1,1,0.7730228990186456
204,0,1,4,1,1,0.885900493362892
205,0,2,4,1,1,0.8634705664067397
206,0,3,4,1,1,0.9021341713247986
207,0,4,4,1,1,0.8495585679256896
208,0,5,4,1,1,0.9576833151548879
209,0,6,4,1,1,0.8839371263740332
210,1,0,0,0,-1,0.6868586693451806
211,1,1,0,0,-1,0.8096083178461295
212,1,2,0,0,-1,0.6276650074476691
213,1,3,0,0,-1,0.7780891304007647
214,1,4,0,0,-1,0.8018349366835393
215,1,5,0,0,-1,0.8494308090675042
216,1,6,0,0,-1,0.8319948942230191
217,1,0,0,1,-1,0.7763707546363554
218,1,1,0,1,-1,0.823292893763771
219,1,2,0,1,-1,0.6482266289408131
220,1,3,0,1,-1,0.7854458250966894
221,1,4,0,1,-1,0.8617529421021197
222,1,5,0,1,-1,0.9423529918641862
223,1,6,0,1,-1,0.9189727192248279
224,1,0,1,0,-1,0.6283597097923063
225,1,1,1,0,-1,0.8728632634277719
226,1,2,1,0,-1,0.7382838620474769
227,1,3,1,0,-1,0.8641498754381141
228,1,4,1,0,-1,0.775743371566289
229,1,5,1,0,-1,0.8852698239545491
230,1,6,1,0,-1,0.7388054072080379
231,1,0,1,1,-1,0.9012404104469661
232,1,1,1,1,-1,0.866994608769662
233,1,2,1,1,-1,1.0293170186991483
234,1,3,1,1,-1,0.9718864407199866
235,1,4,1,1,-1,0.9698521208532909
236,1,5,1,1,-1,1.0276971556081516
237,1,6,1,1,-1,1.026731825723149
238,1,0,2,0,-1,0.5931205354750658
239,1,1,2,0,-1,0.7809585457350385
240,1,2,2,0,-1,0.5575342586740458
241,1,3,2,0,-1,0.7529617491592329
242,1,4,2,0,-1,0.6034206738734424
243,1,5,2,0,-1,0.9395546157277808
244,1,6,2,0,-1,0.7367122701966125
245,1,0,2,1,-1,0.6365615630511584
246,1,1,2,1,-1,0.8576802254937482
247,1,2,2,1,-1,0.5072984905177378
248,1,3,2,1,-1,0.7331880114971394
249,1,4,2,1,-1,0.5995109135249556
250,1,5,2,1,-1,0.8578623475567436
