,partitions,categories,depths,subjects,betas
264,1,2,0,5,0.46143610369326776
265,1,2,0,6,0.6072316250988357
266,1,2,1,0,0.9021130757098824
267,1,2,1,1,0.3453081811952648
268,1,2,1,2,0.5470475382833093
269,1,2,1,3,0.4567103314222145
270,1,2,1,4,0.558916428313269
271,1,2,1,5,0.4466257619872413
272,1,2,1,6,0.36977486422021016
273,1,3,-1,0,1.4497119207259808
274,1,3,-1,1,-0.4152931956942566
275,1,3,-1,2,0.8659523508601705
276,1,3,-1,3,0.7600840047764515
277,1,3,-1,4,0.9759242908209699
278,1,3,-1,5,0.06568716260118376
279,1,3,-1,6,0.3498789507281403
280,1,3,0,0,1.011995414416678
281,1,3,0,1,0.15210773375845701
282,1,3,0,2,0.7375515533731631
283,1,3,0,3,0.38750043669581696
284,1,3,0,4,0.4941788233712282
285,1,3,0,5,0.08214217960147582
286,1,3,0,6,0.2318157044653029
287,1,3,1,0,0.750109783378562
288,1,3,1,1,0.41003492614388687
289,1,3,1,2,0.5642554634093855
290,1,3,1,3,0.39312682983275415
291,1,3,1,4,0.505614977690038
292,1,3,1,5,0.20949693240772063
293,1,3,1,6,0.19838126979964105
294,1,4,-1,0,0.9618215688434077
295,1,4,-1,1,-0.48095538067341365
296,1,4,-1,2,0.461002142455457
297,1,4,-1,3,0.6493398453990192
298,1,4,-1,4,0.7921956673114459
299,1,4,-1,5,0.16613261372830412
300,1,4,-1,6,0.0642240650879852
301,1,4,0,0,0.7157386610807518
302,1,4,0,1,0.10550277584631344
303,1,4,0,2,0.6077482403397608
304,1,4,0,3,0.25404718363640516
305,1,4,0,4,0.3571836578413203
306,1,4,0,5,0.11819929815509901
307,1,4,0,6,0.00047524037764960076
308,1,4,1,0,0.5236507041811338
309,1,4,1,1,0.32753959629437496
310,1,4,1,2,0.5396886783538714
311,1,4,1,3,0.32122822000144535
312,1,4,1,4,0.3581520193009936
313,1,4,1,5,0.17486080184282898
314,1,4,1,6,0.055435354987658524
315,1,5,-1,0,1.1176739994447233
316,1,5,-1,1,-0.6000804282932735
317,1,5,-1,2,0.5276285630530149
318,1,5,-1,3,0.6233369551023642
319,1,5,-1,4,0.8823565581231329
320,1,5,-1,5,0.3658037801403636
321,1,5,-1,6,-0.053439407451514195
322,1,5,0,0,0.7676828386945798
323,1,5,0,1,-0.07183097540871715
324,1,5,0,2,0.6098950647994189
325,1,5,0,3,0.2706708282086156
326,1,5,0,4,0.43334883173663036
327,1,5,0,5,0.19934926471239067
328,1,5,0,6,-0.10073719779659437
329,1,5,1,0,0.5340814418142266
330,1,5,1,1,0.24277255097794756
331,1,5,1,2,0.48383412271234477
332,1,5,1,3,0.297084544361805
333,1,5,1,4,0.4399275707359694
334,1,5,1,5,0.3092003465443859
335,1,5,1,6,0.044747503369975926
336,1,6,-1,0,1.7275114954523343
337,1,6,-1,1,-0.1641089092991673
338,1,6,-1,2,0.9407975036503625
339,1,6,-1,3,1.0542677482108678
340,1,6,-1,4,1.1906649805705036
341,1,6,-1,5,0.6850934679647601
342,1,6,-1,6,0.49298414580304406
343,1,6,0,0,1.1198368823218021
344,1,6,0,1,0.36518497155763535
345,1,6,0,2,0.8037583289356669
346,1,6,0,3,0.5760784378559941
347,1,6,0,4,0.67170592166859
348,1,6,0,5,0.4504195275589463
349,1,6,0,6,0.40903820384468487
350,1,6,1,0,0.7652240728741396
351,1,6,1,1,0.5276890945561152
352,1,6,1,2,0.5929626464447016
353,1,6,1,3,0.4576937524634606
354,1,6,1,4,0.6063628490699798
355,1,6,1,5,0.3907362566819691
356,1,6,1,6,0.2891404046310637
357,1,7,-1,0,2.0880260298392734
358,1,7,-1,1,-0.18072398139535517
359,1,7,-1,2,1.2974615363609259
360,1,7,-1,3,1.4694784434762131
361,1,7,-1,4,1.626253746499126
362,1,7,-1,5,0.5600856711050345
363,1,7,-1,6,0.8646201686543591
364,1,7,0,0,1.3835593484607458
365,1,7,0,1,0.3360530901530707
366,1,7,0,2,0.9458220782252775
367,1,7,0,3,0.8991240305519157
368,1,7,0,4,0.8796534746938858
369,1,7,0,5,0.31707232054327195
370,1,7,0,6,0.6668965934042661
371,1,7,1,0,0.8668059814579303
372,1,7,1,1,0.5313123490502408
373,1,7,1,2,0.6748129007428622
374,1,7,1,3,0.6673339836514058
375,1,7,1,4,0.7694983548163278
376,1,7,1,5,0.3571066032728355
377,1,7,1,6,0.3560220742541013
378,1,8,-1,0,2.000885293635879
379,1,8,-1,1,0.15219365862679315
380,1,8,-1,2,1.4372880012474332
381,1,8,-1,3,1.4933377454380685
382,1,8,-1,4,1.7544659266577018
383,1,8,-1,5,0.7964968431284525
384,1,8,-1,6,0.899160162320633
385,1,8,0,0,1.2905376314290276
386,1,8,0,1,0.5638715712887327
387,1,8,0,2,0.9895170452051946
388,1,8,0,3,0.9475496126991438
389,1,8,0,4,1.0676225667633248
390,1,8,0,5,0.4892963764920048
391,1,8,0,6,0.6896659773542068
392,1,8,1,0,0.8463180883220788
393,1,8,1,1,0.5985893562616864
394,1,8,1,2,0.6972416514054776
395,1,8,1,3,0.6387755306343293
396,1,8,1,4,0.8988830854301633
397,1,8,1,5,0.4490726943236524
398,1,8,1,6,0.4196974807680601
399,1,9,-1,0,2.1069635565625666
400,1,9,-1,1,0.29377602292602334
401,1,9,-1,2,1.7314784260881864
402,1,9,-1,3,1.7361255091797725
403,1,9,-1,4,1.3136166148242583
404,1,9,-1,5,0.7493898325294024
405,1,9,-1,6,0.9250788225827415
406,1,9,0,0,1.3640094705492631
407,1,9,0,1,0.4809286581899009
408,1,9,0,2,1.0937766748750026
409,1,9,0,3,0.9914001292014516
410,1,9,0,4,0.8919046006466226
411,1,9,0,5,0.5279865664908036
412,1,9,0,6,0.8391375220345505
413,1,9,1,0,0.9077614328216466
414,1,9,1,1,0.43072012006792265
415,1,9,1,2,0.7194181821375688
416,1,9,1,3,0.6804064584854728
417,1,9,1,4,0.7527138543782845
418,1,9,1,5,0.4475590037639754
419,1,9,1,6,0.4489567285362488
